"X1" "X10" "X11" "X12" "X13" "X14" "X15" "X16" "X17" "X18" "X2" "X20" "X21" "X22" "X23" "X24" "X25" "X26" "X27" "X28" "X29" "X3" "X30" "X33" "X34" "X35" "X36" "X37" "X38" "X39" "X4" "X40" "X41" "X42" "X43" "X44" "X45" "X46" "X47" "X48" "X5" "X50" "X53" "X54" "X55" "X56" "X57" "X58" "X59" "X6" "X60" "X61" "X62" "X63" "X64" "X65" "X66" "X67" "X68" "X69" "X7" "X70" "X73" "X74" "X75" "X76" "X77" "X78" "X79" "X8" "X80" "X81" "X82" "X83" "X84" "X86" "X87" "X88" "X89" "X9" "X90" "X91" "X92" "X93" "X94" "X95" "X96" "IM17_10_QQ" "IM17_10_QS" "IM17_11_QQ" "IM17_11_QS" "IM17_12_QQ" "IM17_13_QQ" "IM17_13_QS" "IM17_14_QQ" "IM17_15_QQ" "IM17_15_QS" "IM17_16_QQ" "IM17_16_QS" "IM17_17_QQ" "IM17_17_QS" "IM17_18_QS" "IM17_19_QS" "IM17_2_QQ" "IM17_2_QS" "IM17_20_QQ" "IM17_20_QS" "IM17_21_QQ" "IM17_21_QS" "IM17_22_QQ" "IM17_22_QS" "IM17_24_QS" "IM17_25_QS" "IM17_26_QS" "IM17_27_QS" "IM17_28_QS" "IM17_29_QQ" "IM17_29_QS" "IM17_3_QQ" "IM17_3_QS" "IM17_30_QQ" "IM17_30_QS" "IM17_31_QQ" "IM17_31_QS" "IM17_32_QQ" "IM17_32_QS" "IM17_33_QQ" "IM17_33_QS" "IM17_34_QQ" "IM17_34_QS" "IM17_35_QQ" "IM17_35_QS" "IM17_36_QQ" "IM17_36_QS" "IM17_37_QQ" "IM17_37_QS" "IM17_38_QQ" "IM17_38_QS" "IM17_39_QQ" "IM17_39_QS" "IM17_4_QQ" "IM17_4_QS" "IM17_40_QQ" "IM17_40_QS" "IM17_41_QQ" "IM17_41_QS" "IM17_42_QQ" "IM17_43_QQ" "IM17_44_QQ" "IM17_44_QS" "IM17_45_QS" "IM17_46_QS" "IM17_47_QS" "IM17_48_QQ" "IM17_48_QS" "IM17_49_QQ" "IM17_49_QS" "IM17_5_QS" "IM17_50_QQ" "IM17_50_QS" "IM17_51_QQ" "IM17_51_QS" "IM17_52_QQ" "IM17_52_QS" "IM17_53_QQ" "IM17_53_QS" "IM17_54_QQ" "IM17_54_QS" "IM17_55_QQ" "IM17_55_QS" "IM17_56_QQ" "IM17_56_QS" "IM17_57_QQ" "IM17_58_QQ" "IM17_58_QS" "IM17_59_QQ" "IM17_59_QS" "IM17_6_QQ" "IM17_6_QS" "IM17_60_QQ" "IM17_60_QS" "IM17_61_QQ" "IM17_61_QS" "IM17_62_QQ" "IM17_62_QS" "IM17_63_QQ" "IM17_63_QS" "IM17_64_QQ" "IM17_64_QS" "IM17_65_QS" "IM17_66_QS" "IM17_67_QS" "IM17_68_QS" "IM17_69_QS" "IM17_7_QQ" "IM17_70_QS" "IM17_71_QS" "IM17_72_QS" "IM17_8_QQ" "IM17_8_QS" "IM17_9_QQ" "IM17_9_QS" "IM18_240" "IM18_241" "IM18_242" "IM18_243" "IM18_244" "IM18_245" "IM18_246" "IM18_247" "IM18_248" "IM18_249" "IM18_250" "IM18_251" "IM18_277" "IM18_278" "IM18_279" "IM18_280" "IM18_281" "IM18_282" "IM18_283" "IM18_284" "IM18_285" "IM18_286" "IM18_287" "IM18_288" "IM18_289" "IM18_290" "IM18_291" "IM18_292" "IM18_293" "IM18_294" "IM18_295" "IM18_296" "IM18_325" "IM18_326" "IM18_327" "IM18_328" "IM18_329" "IM18_330" "IM18_331" "IM18_332" "IM18_333" "IM18_334" "IM18_335" "IM18_336" "IM18_337" "IM18_338" "IM18_339" "IM18_340" "IM18_341" "IM18_342" "IM18_343" "IM18_345" "IM18_346" "IM18_347" "IM18_348" "IM18_349" "IM18_350" "IM18_351" "IM17_73_QS"
"001006dc2afe90fc4280f722be59cdf407e944aa" 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 239 0 0 0 0 0 0 0 0 0 110 0 0 0 0 0 0 0 0 74 0 0 0 67 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"001ab6aeddf6e4f865dad01a04129c07f1546e7b" 177 0 0 0 113 0 0 0 154 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2478 0 0 0 0 0 0 0 0 0 0 0 0 2714 1728 910 0 0 0 353 0 0 0 0 0 0 0 9860 0 0 3580 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3052 0 0 193 3183 31 940 0 899 4280 294 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"0036d23f06e21e7d158c1f3b45c05c369af687f2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 118 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1291 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"0060ab3fc8cd87bdc88b91a319bb1581a4dc3181" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 41 0 0 122 96 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"0064c4b06ce8c9ac4a43ba94c612316ab3a7a4ca" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 34 0 0 0 0 0 0 0 0 20 0 11 0 0 0 0 0 0 0 0 0 0 0 201 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 408 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"007aa655bf77d011db4e6e3e23d0d2562c8d79e6" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 41 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"009a95b067b91c75a1c2ad31e7170eba12204f56" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"00a22e7fe9cc05bf19492c799cf8c5bb19da0041" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6023 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"00a947ec1b18ad96413f8f717f38c7c33e09913a" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"00b2cbd319955bd5d8f2457d056e610ed2e0a56e" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
