"PCRID" "SampleID" "Size fraction (mm)" "Sample" "Notes" "Locality" "Route" "Lat" "Long" "LandUseType" "Date" "TimeStart" "TimeEnd" "Wind (m/s)" "Temperature (celsius)" "SamplingNotes"
"1" "IM17_1" "P002.5" "<5" "Car net" "Size sorted in normal tap water (the tap was not used for a long time and had iron residues etc. )" "Nordøst Jylland" "https://goo.gl/maps/ACxFUYwFJCw" 56.912336 10.18756 "Mose" 0025-08-20 19:20:00 19:32:00 "Middel" "15-20" ""
"2" "IM17_2" "P002.2" "<5" "Car net" NA "Nordøst Jylland" "https://goo.gl/maps/ACxFUYwFJCw" 56.912336 10.18756 "Mose" 0016-08-20 19:02:00 19:12:00 "Svag" "15-20" ""
"3" "IM17_3" "P002.2" ">5" "Car net" NA "Nordøst Jylland" "https://goo.gl/maps/ACxFUYwFJCw" 56.912336 10.18756 "Mose" 0016-08-20 19:02:00 19:12:00 "Svag" "15-20" ""
"4" "IM17_4" "P002.2" ">10" "Car net" NA "Nordøst Jylland" "https://goo.gl/maps/ACxFUYwFJCw" 56.912336 10.18756 "Mose" 0016-08-20 19:02:00 19:12:00 "Svag" "15-20" ""
"5" "IM17_5" "P002.4" "2" "Car net" "Not size sorted, but split into three tubes due to large sized insects" "Nordøst Jylland" "https://goo.gl/maps/ACxFUYwFJCw" 56.912336 10.18756 "Mose" 0025-08-20 16:05:00 16:13:00 "Middel" "15-20" ""
"6" "IM17_6" "P002.4" "1" "Car net" "Not size sorted, but split into three tubes due to large sized insects" "Nordøst Jylland" "https://goo.gl/maps/ACxFUYwFJCw" 56.912336 10.18756 "Mose" 0025-08-20 16:05:00 16:13:00 "Middel" "15-20" ""
"7" "IM17_7" "P002.5" ">5" "Car net" NA "Nordøst Jylland" "https://goo.gl/maps/ACxFUYwFJCw" 56.912336 10.18756 "Mose" 0025-08-20 19:20:00 19:32:00 "Middel" "15-20" ""
"8" "IM17_8" "P002.4" "3" "Car net" NA "Nordøst Jylland" "https://goo.gl/maps/ACxFUYwFJCw" 56.912336 10.18756 "Mose" 0025-08-20 16:05:00 16:13:00 "Middel" "15-20" ""
"9" "IM17_9" "P002.2 Blank" NA "ExBlank" "Not size sorted, but split into three tubes due to large sized insects" NA NA NA NA NA NA NA NA NA NA NA
"10" "IM17_10" "P001.4" "<10" "Car net" NA "Nordøst Sjælland" "https://goo.gl/maps/VbqwvukBDF92" 55.749571 12.307152 "AltBebyggelse" 0027-08-20 16:12:00 16:35:00 "Svag" "15-20" "Sol og skyer. Gik fint. 5 m/s med vindstød på 9 m/s noteret."
"11" "IM17_11" "P001.5" "<10" "Car net" NA "Nordøst Sjælland" "https://goo.gl/maps/VbqwvukBDF92" 55.749571 12.307152 "AltBebyggelse" 0027-08-20 19:05:00 19:30:00 "Svag" "15-20" "Gik rigtig fint igen. Modificering af net virker så jeg kan køre 40 km/t uden at det klapper sammen eller sidder ustabilt."
"12" "IM17_12" "P002.6" "<10" "Car net" NA "Nordøst Jylland" "https://goo.gl/maps/ACxFUYwFJCw" 56.912336 10.18756 "Mose" 0025-08-20 21:26:00 21:36:00 "Svag" "15-20" ""
"13" "IM17_13" "P002.6" ">10" "Car net" "2 beetles, 2 moths" "Nordøst Jylland" "https://goo.gl/maps/ACxFUYwFJCw" 56.912336 10.18756 "Mose" 0025-08-20 21:26:00 21:36:00 "Svag" "15-20" ""
"14" "IM17_14" "Blank_10092018" NA "ExBlank" "Called P001.5 blank on falcon tube" NA NA NA NA NA NA NA NA NA NA NA
"15" "IM17_15" "P002.3" "<10" "Car net" NA "Nordøst Jylland" "https://goo.gl/maps/ACxFUYwFJCw" 56.912336 10.18756 "Mose" 0016-08-20 21:50:00 22:04:00 "Svag" "15-20" ""
"16" "IM17_16" "P002.3" ">10" "Car net" NA "Nordøst Jylland" "https://goo.gl/maps/ACxFUYwFJCw" 56.912336 10.18756 "Mose" 0016-08-20 21:50:00 22:04:00 "Svag" "15-20" ""
"17" "IM17_17" "P005.3" "<10" "Car net" NA "Nordøst Jylland" "https://goo.gl/maps/jBXNqmyi8FC2" 57.579473 10.045546 "Skov" 0030-07-20 22:02:00 22:26:00 "Middel" "15-20" "6 m/s. 15 grader. Jeg kørte ca. 35 km/t. Denne gang helt uden stop."
"18" "IM17_18" "P005.3" ">10" "Car net" "4 moths, 1 mosquito or wasp" "Nordøst Jylland" "https://goo.gl/maps/jBXNqmyi8FC2" 57.579473 10.045546 "Skov" 0030-07-20 22:02:00 22:26:00 "Middel" "15-20" "6 m/s. 15 grader. Jeg kørte ca. 35 km/t. Denne gang helt uden stop."
"19" "IM17_19" "P005.2" "<10" "Car net" NA "Nordøst Jylland" "https://goo.gl/maps/jBXNqmyi8FC2" 57.579473 10.045546 "Skov" 0030-07-20 18:58:00 19:24:00 "Svag" "15-20" "3 m/s. 18 grader. Kørte ca. 35 km/t Med meget færre stop end på tur nr. 1. Da nettet var blevet fastgjort noget bedre til denne tur :) De sidste 500 m regnede der lidt."
"20" "IM17_20" "P005.2" ">10" "Car net" "1 bee, 1 hover fly" "Nordøst Jylland" "https://goo.gl/maps/jBXNqmyi8FC2" 57.579473 10.045546 "Skov" 0030-07-20 18:58:00 19:24:00 "Svag" "15-20" "3 m/s. 18 grader. Kørte ca. 35 km/t Med meget færre stop end på tur nr. 1. Da nettet var blevet fastgjort noget bedre til denne tur :) De sidste 500 m regnede der lidt."
"21" "IM17_21" "P005.1" "<10" "Car net" NA "Nordøst Jylland" "https://goo.gl/maps/jBXNqmyi8FC2" 57.579473 10.045546 "Skov" 0030-07-20 15:54:00 16:26:00 "Middel" "15-20" "5 m/s. 16 grader. En dag hvor det havde regnet det meste af dagen og klarede op i løbet af eftermiddagen. Havde desværre mange stop, da nettet drillede."
"22" "IM17_22" "P005.1" ">10" "Car net" "1 moth" "Nordøst Jylland" "https://goo.gl/maps/jBXNqmyi8FC2" 57.579473 10.045546 "Skov" 0030-07-20 15:54:00 16:26:00 "Middel" "15-20" "5 m/s. 16 grader. En dag hvor det havde regnet det meste af dagen og klarede op i løbet af eftermiddagen. Havde desværre mange stop, da nettet drillede."
"23" "IM17_23" "Blank_12092018" NA "ExBlank" NA NA NA NA NA NA NA NA NA NA NA NA
"24" "IM17_44" "P80.1A" "> 10" "Car net" "Cabbage butterfly that lost scales and abdomen in the extraction process, wasp" NA NA NA NA NA NA NA NA NA NA NA
"25" "IM17_45" "P80.1A" "< 10" "Car net" NA NA NA NA NA NA NA NA NA NA NA NA
"26" "IM17_46" "P112.1B" "<10" "Car net" NA NA NA NA NA NA NA NA NA NA NA NA
"27" "IM17_47" "ExBlank_03102018" NA "ExBlank" NA NA NA NA NA NA NA NA NA NA NA NA
"28" "IM17_58" "SØ_skov2_17_20" "<10" "Car net" NA "Sorø" "https://goo.gl/maps/oK8oN1b78yo  " 55.421023 11.600166 "Skov" 2018-06-18 19:31:00 19:50:00 "6" "18" "Rain for 5 min 2/3 through route 2"
"29" "IM17_59" "SØ_skov1_12_15" "<10" "Car net" NA "Sorø" "https://goo.gl/maps/oK8oN1b78yo  " 55.421023 11.600166 "Skov" 2018-06-18 14:45:00 15:00:00 "3" "20" "Drove on Næstvedvej instead, 1 km longer route in total"
