Dataindsamlingsark	Lokalitet	Rute	Lat	Long	DOF Atlas III kvadrant	Habitat	Dato	Starttid	Sluttid	Vind (svag-middel-stærk)	Temperatur (15-20, 20-25, 25-30)	Kommentarer & noter	Sendte prøve tilbage	# insekter	# insektordner	# insektfamilier	# Coleoptera	# < 5 mm(tidl 0-2 mm)	#>5 mm (tidl 2-5 mm)	#5-10 mm	#>10 mm	#Coleoptera uid.	# Ptilidae	# Staphyliniidae	# Tenebrionidae	# Leiodidae	# Cerambycidae	# Scarabidae	# Coccinelidae	# Nitidulidae	# Cantharidae	# Carabidae	# Silphidae	# Oedemeridae	#Helophoridae	#Hydrophilidae	#Curculionidae	# Elateridae	#Nitulidae	#Scirtidae	# Chrysomelidae	# Anthicidae	# Monotomidae	# Hemiptera	# < 5 mm(tidl 0-2 mm)	#>5 mm (tidl 2-5 mm)	#5-10 mm	#>10 mm	# Aphidoidea	# Auchenorrhyncha uid.	#Delphacidae	# Cixiidae	#Cicadellidae	#Membracidae	#Cercopoidae	#Heteroptera uid.	# Hebridae	# Acanthosomatidae	# Miridae	# Anthocoridae	# Lygaeidae	#Rhopalidae	# Coccoidae	# Diptera ui	# Brachycera 	# < 5 mm(tidl 0-2 mm)	#>5 mm (tidl 2-5 mm)	# 5-10 mm	# > 10 mm	# Nematocera	# < 5 mm(tidl 0-2 mm)	#>5 mm (tidl 2-5 mm)	# 5-10 mm	> 10 mm	#Syrphidae	#Pipunculidae	#Dolichopodidae	# Dansefluer	# Bibionoidae	#Tabanidae	#Calliphoridae	# Asilidae	Thysanoptera	# Aranea	# < 5 mm(tidl 0-2 mm)	#>5 mm (tidl 2-5 mm)	#5-10 mm	#>10 mm	# Acari	Neuroptera	# < 5 mm(tidl 0-2 mm)	#>5 mm (tidl 2-5 mm)	#5-10	#<10	#Ephemoptera	# < 5 mm(tidl 0-2 mm)	#>5 mm (tidl 2-5 mm)	#5-10	#>10	#Collembola	#Psocoptera	# < 5 mm(tidl 0-2 mm)	#>5 mm (tidl 2-5 mm)	#5-10 mm	#>10 mm	# Hymenoptera	# < 5 mm(tidl 0-2 mm)	#>5 mm (tidl 2-5 mm)	#5-10 mm	> 10 mm	#hymenoptera ui	# Argidae	# Tenthredinidae	# Siricidae	# Xiphydriidae	# Proctotrupidae	# Evanoidea	# Chalcidoidea	# Vespidae	# Ichneumonidae	# Diapriidae	# Braconidae	# Platygastridae	#Bethylidae	# Cynipoidea	# Formicidae	#Myrmicinae	#Ceraphronoidea	#Anthophilla	#Lepidoptera	# < 5 mm(tidl 0-2 mm)	#>5 mm (tidl 2-5 mm)	#5-10 mm	#>10 mm	#Trichoptera	# < 5 mm(tidl 0-2 mm)	#>5 mm (tidl 2-5 mm)	#5-10 mm	#>10 mm
P001.1	Nordøst Sjælland	https://goo.gl/maps/VbqwvukBDF92	55.749571	12.307152	GF16	AltBebyggelse	14-08-2017	16:45:00	17:15:00	Svag	20-25	"Puha… jeres prototype skal lige udvikles en smule mere ;) Nettet klappede sammen helt én gang og krævede yderligere 5-7 justeringer undervejs. Max hastighed er nærmere 35 km/t. Det er ikke nok at fiksere nettets bue ved at have snoren to gange gennem øjet. Vinden trækker i buen og flytter på snoren --> nettet klapper bagud. Rettede op og strammede op, men elastikken ved forruden sprang under kørsel. Det var (næsten) bedre uden. Tror ikke det er godt med så meget fleksibilitet/elastik fortil. Fik kørt ruten, men det tog 30 min. kh én forsker til en anden forsker :)"	Ja	742	10	22	59	22	37				24	33		1						1									1	1	1	54	35	19			50		6				1	1				1				139	144	46	98			220	51	168	1			1	3	1					34	4	4				5	0					0					1	4	3	1			167	146	18	2	1	47					2		16		26	11		51		11	3				0					0				
P001.2	Nordøst Sjælland	https://goo.gl/maps/VbqwvukBDF92	55.749571	12.307152	GF16	AltBebyggelse	14-08-2017	19:00:00	19:20:00	Svag	20-25	Snoren forsøgt fikseret opppe ved øjet i buen med en anden snor. Det gav bedre resultat og buen blev på plads, men den blev trykket lidt bagud undervejs. Glemte at skrive på første seddel at nettet var udstyret med en ca. 1,5 m for kort snor til at kunne nå over bilen, når buen skulle stå oprejst og jeg kører altså kun en almindelig sedan (relativt kort bil):) selv påsat mere snor. Havde nogle af insekterne  ude i sprit, så min medinsamler kunne se (min datter). Vi passede meget på ikke at beskadige eller miste nogen.	Ja	832	10	18	145	93	52			8	89	47		2		1				3												77	6	71			71		3		2						1					84	89	37	52			337	258	79					2	3					11	1		1			6	0					0						2		2			87	57	29	1		19					2		7		27	5		10		14	2		1		6		6			0				
P001.3	Nordøst Sjælland	https://goo.gl/maps/VbqwvukBDF92	55.749571	12.307152	GF16	AltBebyggelse	14-08-2017	20:10:00	20:30:00	Svag	15-20	Buen rykker stadig bagud undervejs. Skal lige have den fikseret bedre. Ellers ok tur.	Ja	1071	9	10	44	44				5	25	14								6												74	74				73		1													62	62	62				758	752	6											4	0					8	0					1		1				0					40	40				7					2		2		19			8			2				7	7				0				
P001.4	Nordøst Sjælland	https://goo.gl/maps/VbqwvukBDF92	55.749571	12.307152	GF16	AltBebyggelse	27-08-2017	16:12:00	16:35:00	Svag	15-20	Sol og skyer. Gik fint. 5 m/s med vindstød på 9 m/s noteret.	Ja	0	0	0	0																											0																				0	0					0														0						0					0						0					0					0																			0					0				
P001.5	Nordøst Sjælland	https://goo.gl/maps/VbqwvukBDF92	55.749571	12.307152	GF16	AltBebyggelse	27-08-2017	19:05:00	19:30:00	Svag	15-20	Gik rigtig fint igen. Modificering af net virker så jeg kan køre 40 km/t uden at det klapper sammen eller sidder ustabilt.	Ja	0	0	0	0																											0																				0	0					0														0						0					0						0					0					0																			0					0				
P001.6	Nordøst Sjælland	https://goo.gl/maps/VbqwvukBDF92	55.749571	12.307152	GF16	AltBebyggelse	27-08-2017	20:03:00	20:27:00	Svag	15-20	Fint vejr…god tur..mange insekter! God fornøjelse med tælling og karaktisering. MVH Bolette	Ja	842	7	12	47	47					19	24	2			1								2								3	3				1				2											63	73	71	2			678	668	10						10						0					9	0					0						0					27	27				5					1		7		13					1					4	4				0				
P002.1	Nordøst Jylland	https://goo.gl/maps/ACxFUYwFJCw	56.912336	10.18756	DC41	Mose	16-08-2017	16:00:00	16:10:00	Svag	20-25		Ja	1512	8	19	43	37	6				43	17		1		2		1	3										1			11	11				13															92	124	113	11			781	759	22			2			3	22	1	4		179	5	5				5	0					0						0					351	153	198			39					2		11		20	1	1	59				214	3	1	0					0				
P002.2	Nordøst Jylland	https://goo.gl/maps/ACxFUYwFJCw	56.912336	10.18756	DC41	Mose	16-08-2017	19:02:00	19:12:00	Svag	15-20		Ja	0	0	0	0																											0																				0	0					0														0						0					0						0					0					0																			0					0				
P002.3	Nordøst Jylland	https://goo.gl/maps/ACxFUYwFJCw	56.912336	10.18756	DC41	Mose	16-08-2017	21:50:00	22:04:00	Svag	15-20		Ja	0	0	0	0																											0																				0	0					0														0						0					0						0					0					0																			0					0				
P002.4	Nordøst Jylland	https://goo.gl/maps/ACxFUYwFJCw	56.912336	10.18756	DC41	Mose	25-08-2017	16:05:00	16:13:00	Middel	15-20		Ja	0	0	0	0																											0																				0	0					0														0						0					0						0					0					0																			0					0				
P002.5	Nordøst Jylland	https://goo.gl/maps/ACxFUYwFJCw	56.912336	10.18756	DC41	Mose	25-08-2017	19:20:00	19:32:00	Middel	15-20		Ja	0	0	0	0																											0																				0	0					0														0						0					0						0					0					0																			0					0				
P002.6	Nordøst Jylland	https://goo.gl/maps/ACxFUYwFJCw	56.912336	10.18756	DC41	Mose	25-08-2017	21:26:00	21:36:00	Svag	15-20		Ja	0	0	0	0																											0																				0	0					0														0						0					0						0					0					0																			0					0				
P005.1	Nordøst Jylland	https://goo.gl/maps/jBXNqmyi8FC2	57.579473	10.045546	DB26	Skov	30-07-2017	15:54:00	16:26:00	Middel	15-20	5 m/s. 16 grader. En dag hvor det havde regnet det meste af dagen og klarede op i løbet af eftermiddagen. Havde desværre mange stop, da nettet drillede.	Ja	0	0	0	0																											0																				0	0					0														0						0					0						0					0					0																			0					0				
P005.2	Nordøst Jylland	https://goo.gl/maps/jBXNqmyi8FC2	57.579473	10.045546	DB26	Skov	30-07-2017	18:58:00	19:24:00	Svag	15-20	3 m/s. 18 grader. Kørte ca. 35 km/t Med meget færre stop end på tur nr. 1. Da nettet var blevet fastgjort noget bedre til denne tur :) De sidste 500 m regnede der lidt.	Ja	0	0	0	0																											0																				0	0					0														0						0					0						0					0					0																			0					0				
P005.3	Nordøst Jylland	https://goo.gl/maps/jBXNqmyi8FC2	57.579473	10.045546	DB26	Skov	30-07-2017	22:02:00	22:26:00	Middel	15-20	6 m/s. 15 grader. Jeg kørte ca. 35 km/t. Denne gang helt uden stop. 	Ja	0	0	0	0																											0																				0	0					0														0						0					0						0					0					0																			0					0				
P006.1	Nordøst Jylland	https://goo.gl/maps/BjnhBffGUwG2 	57.536138	10.046144	DB25	Overdrev	10-08-2017	17:10:00	17:30:00	Middel	20-25	20 grader.	Ja	118	5	7	0																											1		1					1													17	17	15	2			47	44	3											37	0						0					0						0					16	13	3			1					1		3		7			2	1	1					0					0				
P006.2	Nordøst Jylland	https://goo.gl/maps/BjnhBffGUwG2 	57.536138	10.046144	DB25	Overdrev	10-08-2017	19:10:00	19:30:00	Middel	15-20	18 grader.	Ja	375	10	15	48	33	15				5	43		1																		11	5	6			5		6													99	116	89	25	2		115	105	10			1	1	1	14					22	3	3				4	1		1			0					1	0					49	34	14		1	8					5		4	1	17	4		10							0					0				
P006.3	Nordøst Jylland	https://goo.gl/maps/BjnhBffGUwG2 	57.536138	10.046144	DB25	Overdrev	10-08-2017	21:30:00	21:50:00	Middel	15-20	Middel svag vind. 16 grader.	Ja	198	9	11	29	17	12				8	17		3																		1		1					1													66	71	56	15			79	77	2						5					1	1	1				1	0					0						1	1				14	10	4			0							2		5	1		4	1	1					0					0				
P006.4	Nordøst Jylland	https://goo.gl/maps/BjnhBffGUwG2 	57.536138	10.046144	DB25	Overdrev	11-08-2017	18:10:00	18:28:00	Middel	15-20	Klar himmel. 19 grader.	Ja	631	8	13	123	60	63				35	74	1	3																		2	1	1			1		1													130	143	116	25	2		274	266	8			1			12					30	1	1				2	0					0						0					55	36	19			6					9		5		28			5		2					0					0				
P006.5	Nordøst Jylland	https://goo.gl/maps/BjnhBffGUwG2 	57.536138	10.046144	DB25	Overdrev	11-08-2017	19:30:00	19:55:00	Middel	15-20	Vindpose itu. Rep	Ja	605	9	15	116	31	84	1			23	91		2									1	1								6	2	4			5		1													125	144	33	105	6		250	193	55	1		1			18					16	0					3	0					0						1		1			64	24	39	1		4					7		5		35	2		10		1					1		1			0				
P006.6	Nordøst Jylland	https://goo.gl/maps/BjnhBffGUwG2 	57.536138	10.046144	DB25	Overdrev	11-08-2017	21:10:00	21:30:00	Svag	15-20		Ja	795	11	19	208	49	159				42	138		4									1	7	1		1	1				6	2	4			3		1		1										1	321	325	23	298	4		194	139	55					3					1	2	2	2				12	0					3			3			0					36	15	20	1		4					3				19	2		4		4					3		1	2		1		1		
																																																																																										0					0						0																													0					0				
